,comment,machine_id,start_time,end_time,duration,name,downtime_code_id,Name_2,year,Station
1134603,break,286.0,2021-01-07 14:20:00.000,2021-01-07 14:35:00.000,900.0,WLM02 ST130,74.0,break,2021,
1134678,break: overage,286.0,2021-01-07 14:35:00.000,2021-01-07 14:40:20.073,320.719,WLM02 ST130,219.0,break: overage,2021,
1134721,No Comment and No Reason Code,286.0,2021-01-07 14:40:20.073,2021-01-07 15:41:02.097,3642.247,WLM02 ST130,,,2021,
1134881,op120-off line,286.0,2021-01-07 15:41:02.097,2021-01-07 15:52:57.020,714.244,WLM02 ST130,230.0,networking,2021,120.0
1134882,"op 120 off line
",286.0,2021-01-07 15:41:02.097,2021-01-07 15:52:57.020,714.244,WLM02 ST130,230.0,networking,2021,120.0
1134916,No Comment and No Reason Code,286.0,2021-01-07 15:52:57.020,2021-01-07 16:26:27.033,2010.109,WLM02 ST130,,,2021,
1135074,op90-reject part due to bad matrix format,286.0,2021-01-07 16:26:27.033,2021-01-07 16:30:17.033,230.022,WLM02 ST130,228.0,data collection plc failure,2021,90.0
1135082,No Comment and No Reason Code,286.0,2021-01-07 16:30:17.033,2021-01-07 17:00:31.040,1814.072,WLM02 ST130,,,2021,
1135158,grob-op20a hydraulic leak,286.0,2021-01-07 17:00:31.040,2021-01-07 17:04:19.023,227.834,WLM02 ST130,158.0,hydraulic,2021,
1135163,No Comment and No Reason Code,286.0,2021-01-07 17:04:19.023,2021-01-07 17:05:00.000,40.753,WLM02 ST130,,,2021,
1135336,lunch: overage,286.0,2021-01-07 17:35:00.000,2021-01-07 17:39:27.017,267.183,WLM02 ST130,218.0,lunch: overage,2021,
1135344,No Comment and No Reason Code,286.0,2021-01-07 17:39:27.017,2021-01-07 17:39:48.033,21.143,WLM02 ST130,,,2021,
1135345,No Comment and No Reason Code,286.0,2021-01-07 17:39:48.033,2021-01-07 18:07:59.020,1690.872,WLM02 ST130,,,2021,
1135491,grob-op20a-hydraulic leak,286.0,2021-01-07 18:07:59.020,2021-01-07 18:12:37.033,278.146,WLM02 ST130,158.0,hydraulic,2021,
1135494,No Comment and No Reason Code,286.0,2021-01-07 18:12:37.033,2021-01-07 18:22:35.067,598.329,WLM02 ST130,,,2021,
1135510,No Comment and No Reason Code,287.0,2021-01-07 18:19:10.043,2021-01-07 19:50:00.000,5449.582,WLM03 ST130,,,2021,
1135529,No Comment and No Reason Code,286.0,2021-01-07 18:22:35.067,2021-01-07 18:22:59.057,23.882,WLM02 ST130,,,2021,
1135531,No Comment and No Reason Code,286.0,2021-01-07 18:22:59.057,2021-01-07 18:32:33.077,574.195,WLM02 ST130,,,2021,
1135571,grob -op 20 a hydraulic leak,286.0,2021-01-07 18:32:33.077,2021-01-07 18:36:50.007,256.319,WLM02 ST130,110.0,shear,2021,
1135578,No Comment and No Reason Code,286.0,2021-01-07 18:36:50.007,2021-01-07 18:41:10.067,260.594,WLM02 ST130,,,2021,
1135610,testing,286.0,2021-01-07 18:41:10.067,2021-01-07 18:44:24.073,194.068,WLM02 ST130,227.0,it,2021,
1135611,No Comment and No Reason Code,286.0,2021-01-07 18:44:24.073,2021-01-07 18:48:50.083,266.095,WLM02 ST130,,,2021,
1135665,grob op20a hydraulic leak,286.0,2021-01-07 18:48:50.083,2021-01-07 18:53:10.047,259.649,WLM02 ST130,158.0,hydraulic,2021,20.0
1135667,No Comment and No Reason Code,286.0,2021-01-07 18:53:10.047,2021-01-07 18:58:06.007,295.595,WLM02 ST130,,,2021,
1135715,No Comment and No Reason Code,286.0,2021-01-07 19:02:58.000,2021-01-07 19:09:40.007,402.068,WLM02 ST130,,,2021,
1135755,No Comment and No Reason Code,286.0,2021-01-07 19:12:43.090,2021-01-07 19:24:30.027,706.37,WLM02 ST130,,,2021,
1136321,No Comment and No Reason Code,287.0,2021-01-07 19:50:00.000,2021-01-08 03:50:00.000,28800.0,WLM03 ST130,,,2021,
1136518, shift start: overage ,286.0,2021-01-07 20:00:00.000,2021-01-07 20:45:00.000,2700.0,WLM02 ST130,216.0, shift start: overage ,2021,
1136520, shift start: overage ,285.0,2021-01-07 20:00:00.000,2021-01-07 20:45:00.000,2700.0,WLM01 ST130,216.0, shift start: overage ,2021,
1137970,No Comment and No Reason Code,287.0,2021-01-08 03:50:00.000,2021-01-08 11:50:00.000,28800.0,WLM03 ST130,,,2021,
1138659,No Comment and No Reason Code,287.0,2021-01-08 11:50:00.000,2021-01-08 13:30:50.043,6050.438,WLM03 ST130,,,2021,
1139008,No Comment and No Reason Code,287.0,2021-01-08 13:30:50.043,2021-01-08 13:36:00.053,310.1,WLM03 ST130,,,2021,
1139053,op120-camera 14 not online,287.0,2021-01-08 13:36:00.053,2021-01-08 13:39:33.063,213.111,WLM03 ST130,139.0,camera,2021,120.0
1139056,No Comment and No Reason Code,287.0,2021-01-08 13:39:33.063,2021-01-08 14:20:00.000,2426.351,WLM03 ST130,,,2021,
1139234,break,287.0,2021-01-08 14:20:00.000,2021-01-08 14:35:00.000,900.0,WLM03 ST130,74.0,break,2021,
